"ITTER107","Territorio","TIPO_DATO2","Tipo indice","MISURA1","Misura","TYPPURCH","Abitazioni compravendute","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2014-Q2","T2-2014",102.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2014-Q1","T1-2014",102.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2014-Q4","T4-2014",101.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2014-Q3","T3-2014",101.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2015-Q1","T1-2015",99.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2015-Q2","T2-2015",98.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2015-Q4","T4-2015",100.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2015-Q3","T3-2015",101.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2016-Q2","T2-2016",100.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2016-Q1","T1-2016",100.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2016-Q4","T4-2016",101.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2016-Q3","T3-2016",100.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2017-Q1","T1-2017",98.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2017-Q2","T2-2017",100,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2017-Q4","T4-2017",101.5,,
